Index,Fuel Type Code,Street Address,State,Latitude,Longitude
12037,LPG,981 N Liberty St,VA,38.464119,-78.866119
12038,ELEC,825 NE Multnomah St,OR,45.532503,-122.657619
12039,E85,891 E Main St,PA,40.163132,-76.153327
12040,E85,7040 W Spring Creek Pkwy,TX,33.081949,-96.851884
12041,E85,3272 Parkwood Blvd,TX,33.106278,-96.816426
12042,E85,1009 S Loop 121,TX,31.051116,-97.485182
12043,E85,14004 Telge Rd,TX,29.977604,-95.652174
12044,E85,13176 I-10 E,TX,29.511536,-98.308678
12045,E85,1724 N Sara Dewitt Dr,TX,29.522174,-97.436693
12046,E85,8901 Highway 290 E,TX,30.135829,-96.258843
12047,ELEC,240 Killian Commons Pkwy,SC,34.126485,-80.960396
12048,ELEC,1888-1898 Wili Pa Loop,HI,20.894568,-156.499372
12049,ELEC,3015 N Scottsdale Rd,AZ,33.482217,-111.924943
12050,E85,268 Genny Loop,WV,39.077227,-78.966764
12051,E85,1280 New Creek Hwy,WV,39.382629,-79.022883
12052,E85,239 Three Springs Dr,WV,40.405584,-80.549408
12053,E85,5715 Hammonds Mill Rd,WV,39.544818,-77.906758
12054,E85,1130 Marlow Rd,WV,39.302642,-77.815906
12055,E85,1525 Main St,WV,40.338267,-80.597883
12056,E85,3522 Monongahela Blvd,WV,39.657733,-79.990399
12057,E85,4430 Winchester Ave,WV,39.398646,-78.002588
12058,BD,1467 SE Orient Dr,OR,45.486068,-122.397691
12059,BD,39021 Proctor Blvd,OR,45.397501,-122.261522
